[DEBUG] 2023-03-03 21:14:44.165 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-03-03 21:14:44.169 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-03-03 21:14:44.178 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-03-03 21:14:44.310 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-03-03 21:14:44.319 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-03-03 21:14:44.717 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-03-03 21:14:44.718 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-03-03 21:14:44.739 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-03-03 21:14:45.346 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-03-03 21:14:45.383 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-03-03 21:14:45.384 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-03-03 21:14:45.395 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-03-03 21:14:45.465 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@11b455e5
[DEBUG] 2023-03-03 21:14:45.470 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@11b455e5
[DEBUG] 2023-03-03 21:14:45.471 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@11b455e5
[DEBUG] 2023-03-03 21:14:45.472 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6d025d1d
[DEBUG] 2023-03-03 21:14:45.472 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@79d06bbd
[DEBUG] 2023-03-03 21:14:45.472 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@e8ea697
[DEBUG] 2023-03-03 21:14:45.473 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@618ad2aa
[DEBUG] 2023-03-03 21:14:45.473 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@618ad2aa
[DEBUG] 2023-03-03 21:14:45.473 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@618ad2aa
[DEBUG] 2023-03-03 21:14:45.474 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@59e43e8c
[DEBUG] 2023-03-03 21:14:45.474 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@59e43e8c
[DEBUG] 2023-03-03 21:14:45.475 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@59e43e8c
[DEBUG] 2023-03-03 21:14:45.477 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3f049056
[DEBUG] 2023-03-03 21:14:45.478 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3f049056
[DEBUG] 2023-03-03 21:14:45.478 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3f049056
[DEBUG] 2023-03-03 21:14:45.487 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@4c2fb9dd
[DEBUG] 2023-03-03 21:14:45.488 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@4c2fb9dd
[DEBUG] 2023-03-03 21:14:45.488 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4c2fb9dd
