[DEBUG] 2023-03-01 13:25:20.970 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-03-01 13:25:20.994 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-03-01 13:25:21.001 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-03-01 13:25:21.323 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-03-01 13:25:21.327 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-03-01 13:25:21.950 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [.//Hibernate/Hiberntae Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-03-01 13:25:21.954 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-03-01 13:25:21.978 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-03-01 13:25:22.860 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-03-01 13:25:22.940 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-03-01 13:25:22.942 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-03-01 13:25:23.016 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-03-01 13:25:23.117 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-03-01 13:25:23.123 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-03-01 13:25:23.123 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6ff6efdc
[DEBUG] 2023-03-01 13:25:23.128 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2b037cfc
[DEBUG] 2023-03-01 13:25:23.129 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4487c0c2
[DEBUG] 2023-03-01 13:25:23.135 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@29f85fe1
[DEBUG] 2023-03-01 13:25:23.137 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-03-01 13:25:23.137 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-03-01 13:25:23.137 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1866da85
[DEBUG] 2023-03-01 13:25:23.138 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1f3165e7
[DEBUG] 2023-03-01 13:25:23.139 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1f3165e7
[DEBUG] 2023-03-01 13:25:23.139 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1f3165e7
[DEBUG] 2023-03-01 13:25:23.149 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@45c2e0a6
